Ticker,Sector,Industry,Close,PE Ratio,PB Ratio,ROE,EV/EBITDA,Capital Expenditure,Working Capital,Depreciation & Amortization,SUN 10 Year,Beta,Market Risk Premium,Dividend Per Share,Dividend Yield,Dividend Time,Payout Frequency,Expected Dividend Growth,EPS CAGR 5Y (%)
HMSP,Consumer Staples,Tobacco,645.0,8.72,2.9,0.3469,5.97,-475830000000.0,13870000000000.0,1010000000000.0,0.0715,0.51,0.22,56.3,0.0873,MAY,Annual,0.08512926000000001,3.98
ICBP,Consumer Staples,Packaged Foods,6800.0,10.73,1.05,0.1255,6.31,-2330030000000.0,41780000000000.0,1750000000000.0,0.0715,-0.01,0.22,265.0,0.039,JUL,Annual,0.07600280000000001,2.92
INDF,Consumer Staples,Packaged Foods,7000.0,6.44,0.49,0.12140000000000001,4.3,-4351750000000.0,51600000000000.0,3940000000000.0,0.0715,0.04,0.22,290.0,0.0414,JUL,Annual,0.09021234,4.55
JPFA,Consumer Staples,Farm Products,2270.0,5.07,1.25,0.2918,4.71,-3906260000000.0,8090000000000.0,1200000000000.0,0.0715,0.15,0.22,140.0,0.0617,APR,Annual,0.19871580000000003,20.92
LSIP,Consumer Staples,Farm Products,1635.0,5.6,0.81,0.152,1.3,-448400000000.0,8160000000000.0,392310000000.0,0.0715,0.02,0.22,83.0,0.0508,JUL,Annual,0.1193656,15.77
MIDI,Consumer Staples,Grocery Stores,266.0,10.09,1.93,0.1977,4.34,-818900000000.0,-29390000000.0,521400000000.0,0.0715,-0.18,0.22,11.85,0.0446,MAY,Annual,0.10946648999999999,23.18
MLBI,Consumer Staples,Beverages - Brewers,6825.0,11.26,13.11,1.2222,6.37,-216850000000.0,-384580000000.0,415940000000.0,0.0715,0.01,0.22,561.0,0.08220000000000001,MAY / JUN & NOV,Semi-Annual,0.80347428,14.09
MYOR,Consumer Staples,Packaged Foods,1510.0,9.86,1.8,0.1962,5.57,-919620000000.0,12980000000000.0,1570000000000.0,0.0715,-0.15,0.22,60.0,0.0397,MAY,Annual,0.12558762,23.53
NSSS,Consumer Staples,Farm Products,760.0,27.07,7.95,0.3381,16.98,-155270000000.0,519059999999.99994,156770000000.0,0.0715,-0.22,0.22,10.0,0.0132,NOV,Annual,0.30195711000000003,18.27
PNGO,Consumer Staples,Farm Products,3520.0,8.53,2.22,0.2802,5.99,-121690000000.0,150190000000.0,64209999999.99999,0.0715,0.12,0.22,220.0,0.0625,JUN & NOV,,0.24621174,11.94
ROTI,Consumer Staples,Packaged Foods,585.0,17.1,2.04,0.1093,8.27,-100380000000.0,-152570000000.0,185650000000.0,0.0715,-0.24,0.22,80.04,0.1368,APR,Annual,-0.14862614,-6.11
TAPG,Consumer Staples,Farm Products,2170.0,10.84,3.68,0.35969999999999996,7.41,-699700000000.0,2380000000000.0,717540000000.0,0.0715,0.12,0.22,180.0,0.083,MAY & NOV,Semi-Annual,0.005179679999999988,28.14
TBLA,Consumer Staples,Packaged Foods,625.0,4.29,0.39,0.0953,6.33,-1520850000000.0,2950000000000.0,822390000000.0,0.0715,0.09,0.22,47.0,0.07519999999999999,JUN,Annual,0.08752352,-0.49
TLDN,Consumer Staples,Farm Products,610.0,7.37,2.17,0.31120000000000003,4.59,154200000000.0,374050000000.0,350250000000.0,0.0715,-0.04,0.22,31.0,0.0508,MAY & OCT,Semi-Annual,0.14035120000000004,14.8
WIIM,Consumer Staples,Tobacco,1470.0,5.33,1.34,0.2722,3.66,-271040000000.00003,1550000000000.0,80200000000.0,0.0715,-0.39,0.22,104.4,0.071,JUN,Annual,0.16892732000000002,26.79
YUPI,Consumer Staples,Confectioners,1285.0,17.68,6.36,0.25379999999999997,11.51,-29790000000.0,1280000000000.0,136919999999.99998,0.0715,,0.22,70.22,0.0547,JUL & DEC,Semi-Annual,-0.5801614199999999,9.2
BWPT,Consumer Staples,Packaged Foods,122.0,9.31,1.23,0.14429999999999998,5.78,-347590000000.0,-619700000000.0,186390000000.0,0.0715,0.01,0.22,,,-,,,
GZCO,Consumer Staples,Farm Products,189.0,9.51,0.87,,5.37,-86220000000.0,-251720000000.0,95450000000.0,0.0715,-0.02,0.22,,,-,,,54.3
SIMP,Consumer Staples,Packaged Foods,615.0,4.43,0.36,,2.84,-1503940000000.0,4410000000000.0,1420000000000.0,0.0715,0.2,0.22,26.0,0.042300000000000004,JUL,Annual,,17.16
STAA,Consumer Staples,Farm Products,1195.0,7.66,1.91,0.2999,4.79,-250230000000.0,2420000000000.0,429230000000.0,0.0715,-0.23,0.22,75.0,0.06280000000000001,MAY & OCT,Annual,0.13612460999999998,-2.45
ACES,Consumer Discretionary,Specialty Retail,346.0,7.84,0.93,0.12119999999999999,3.4,-191600000000.0,5080000000000.0,160640000000.0,0.0715,0.13,0.22,32.01,0.0925,JUN,Annual,0.029475839999999993,2.03
AUTO,Consumer Discretionary,Auto Parts,3370.0,6.7,0.94,0.15289999999999998,4.36,-533010000000.0,5600000000000.0,481420000000.0,0.0715,0.07,0.22,229.0,0.068,MAY & OCT,Semi-Annual,0.08308586000000001,31.65
EAST,Consumer Discretionary,Lodging,89.0,11.08,0.8,0.0711,7.7,-9230000000.0,2670000000.0,6600000000.0,0.0715,-0.27,0.22,7.8,0.0876,APR / JUN & DEC / JAN,Semi-Annual,-0.03160394999999999,22.26
ERAA,Consumer Discretionary,Specialty Retail,625.0,6.97,0.89,0.1551,4.5,-835000000000.0,3820000000000.0,609660000000.0,0.0715,0.36,0.22,25.0,0.04,JUN,Annual,0.12215676,7.09
KDSI,Consumer Discretionary,Packaging & Containers,458.0,11.66,0.93,0.0812,5.69,-37490000000.0,380260000000.0,51220000000.0,0.0715,-0.1,0.22,20.0,0.0437,JUN,Annual,0.04008032,-1.71
LPIN,Consumer Discretionary,Auto Parts,432.0,5.73,0.52,0.0928,2.74,-724580000.0,183300000000.0,1200000000.0,0.0715,-0.26,0.22,45.0,0.1042,MAY / JUN,Annual,0.0379552,6.61
MAPI,Consumer Discretionary,Department Stores,1495.0,10.02,1.33,0.1761,4.02,-2070830000000.0,7860000000000.0,1310000000000.0,0.0715,0.29,0.22,10.0,0.0067,JUN,Annual,0.16181829,42.57
MNCN,Communication Services,Advertising Agencies,176.0,2.08,0.11,0.0545,2.21,-787090000000.0,9660000000000.0,611800000000.0,0.0715,0.15,0.22,,,JUL,,,-13.22
MPMX,Consumer Discretionary,Auto & Truck Dealerships,1020.0,8.62,0.81,0.091,3.67,-115290000000.0,1360000000000.0,82200000000.0,0.0715,0.27,0.22,120.0,0.1177,JUN,Annual,-0.038092600000000004,4.69
PANR,Consumer Discretionary,Travel Services,408.0,6.96,0.46,0.1343,3.36,-5320000000.0,326900000000.0,16879999999.999998,0.0715,0.22,0.22,60.0,0.1471,MAY,Annual,0.06655908,
RALS,Consumer Discretionary,Department Stores,386.0,9.63,0.68,0.0693,1.18,-252750000000.0,1900000000000.0,277800000000.0,0.0715,0.39,0.22,60.0,0.15539999999999998,MAY,Annual,-0.01933470000000001,9.51
SCMA,Communication Services,Broadcasting,182.0,11.84,1.58,0.1356,7.86,-127860000000.0,4010000000000.0,268220000000.00003,0.0715,0.19,0.22,21.0,0.11539999999999999,JUN & NOV,Semi-Annual,-0.047609160000000025,-6.13
SMSM,Consumer Discretionary,Auto Parts,1700.0,8.65,2.19,0.2883,5.06,-221690000000.0,3330000000000.0,246690000000.0,0.0715,0.09,0.22,140.0,0.0824,MAY & AUG,Quarterly,0.1432851,11.58
SPTO,Consumer Discretionary,"Furnishings, Fixtures & Appliances",605.0,6.29,0.66,0.1184,5.69,-76210000000.0,695650000000.0,64069999999.99999,0.0715,-0.14,0.22,70.0,0.1157,JUN & NOV,Semi-Annual,0.03135232,5.5
TOTO,Industrials,Building Products & Equipment,242.0,9.25,0.99,0.1074,5.39,-96970000000.0,1270000000000.0,93460000000.0,0.0715,-0.03,0.22,23.0,0.095,JUN & NOV,Semi-Annual,-0.023198399999999997,11.49
DVLA,Healthcare,Drug Manufacturers - Specialty & Generic,1575.0,13.03,1.18,0.091,5.28,-107240000000.0,1030000000000.0,73210000000.0,0.0715,-0.09,0.22,105.0,0.0667,JUN & OCT / NOV,Semi-Annual,0.010201099999999998,-1.44
EPMT,Healthcare,Medical Distribution,2630.0,8.65,0.86,0.1054,5.23,-228810000000.0,6510000000000.0,180230000000.0,0.0715,-0.0,0.22,179.0,0.0681,MAY / JUN,,,-0.42
HEAL,Healthcare,Medical Care Facilities,655.0,25.45,1.42,0.0728,8.25,-1552090000000.0,474400000000.0,833660000000.0,0.0715,-0.2,0.22,10.5,0.016,JUN,Annual,0.03514056,-17.24
KLBF,Healthcare,Drug Manufacturers - General,750.0,9.55,1.33,0.1477,6.15,-830890000000.0,14330000000000.0,426280000000.0,0.0715,-0.07,0.22,20.0,0.026699999999999998,JUN,Annual,0.11067161,3.21
