Ticker,Altman Z-Score,Total Assets,Retained Earnings,Market Cap
SSIA,2.17,13025799000000.0,3229943000000.0,8850000000000.0
BUKA,15.6,24879815000000.0,-7934993000000.0,10290000000000.0
EMTK,5.76,59875434000000.0,14424221000000.0,31810000000000.0
GOTO,-3.38,47476833000000.0,-214737614000000.0,53300000000000.0
MSTI,6.59,3160162000000.0,1485664000000.0,4210000000000.0
MTDL,3.55,15284097000000.0,4193192000000.0,6260000000000.0
PTSN,,255470000.0,66370000.00000001,1650000000000.0
WIRG,3.67,1525607000000.0,342157000000.0,895400000000.0
CBDK,3.3,22220999000000.0,3904949000000.0,21560000000000.0
JKON,2.93,4607156000000.0,2431579000000.0,1390000000000.0
JSMR,0.71,163213860000000.0,30228056000000.0,21560000000000.0
PGAS,,6202000000.0,3022000000.0,37210000000000.0
PGEO,,2967000000.0,287210000.0,43370000000000.0
POWR,,1192000000.0,296490000.0,14580000000000.0
NRCA,3.2,2884397000000.0,759909000000.0,1460000000000.0
CDIA,,1933000000.0,98910000.0,86080000000000.0
ASSA,1.63,9015924000000.0,1339825000000.0,2340000000000.0
HAIS,1.59,1579537000000.0,402061000000.0,485860000000.0
IPCC,3.53,2045844000000.0,375149000000.0,2080000000000.0
IPCM,4.44,1754355000000.0,478110000000.0,1570000000000.0
MAHA,3.8,2840478000000.0,652572000000.0,2410000000000.0
NELY,3.33,1113545000000.0,613025000000.0,507600000000.0
SMDR,1.9,1482000000.0,545790000.0,5210000000000.0
TEBE,27.47,1094844000000.0,623920000000.0,2240000000000.0
TMAS,3.75,5996884000000.0,3053198000000.0,7900000000000.0
TPMA,1.56,277490000.0,73150000.0,1660000000000.0
BBRM,4.24,55130000.0,-57780000.0,983620000000.0
BOAT,2.67,35580000.0,10290000.0,500740000000.0
BULL,0.52,407780000.0,-203100000.0,7130000000000.0
DCII,104.82,8016886000000.0,3938501000000.0,476870000000000.0
DSSA,10.15,4596000000.0,2491000000.0,180260000000000.0
EDGE,0.72,10987842000000.0,1204471000000.0,9680000000000.0
INET,1.95,5690551000000.0,44882000000.0,7790000000000.0
MGLV,52.77,184044000000.0,30536000000.0,20530000000000.0
EXCL,0.47,113545920000000.0,55632000000.0,49320000000000.0
FREN,,43184370000000.0,-26330709000000.0,10960000000000.0
ISAT,1.21,138306488000000.0,18154258000000.0,76110000000000.0
TLKM,2.4,303087000000000.0,101815000000000.0,255320000000000.0
LINK,,13530752000000.0,-369147000000.0,4210000000000.0
MORA,4.05,43126828000000.0,4208913000000.0,257980000000000.03
MTEL,1.29,60105879000000.0,2290564000000.0,38780000000000.0
TBIG,0.87,48241918000000.0,6322892000000.0,32810000000000.004
TOWR,0.85,81842468000000.0,23068081000000.0,25910000000000.0
GLVA,3.71,966139000000.0,284291000000.0,480000000000.0
MLPT,22.24,3736688000000.0,451277000000.0,59060000000000.0
KETR,2.39,2346920000000.0,823162000000.0,2420000000000.0
