Ticker,Sector,Industry,Close,PE Ratio,PB Ratio,Debt / Equity Ratio,ROE,EV/EBITDA,Capital Expenditure,Working Capital,Depreciation & Amortization,SUN 10 Year,Beta,Market Risk Premium,Dividend Per Share,Dividend Yield,Dividend Time,Payout Frequency,Expected Dividend Growth,EPS CAGR 5Y (%),Altman Z-Score,Total Assets,Retained Earnings,Market Cap,Cash & Equivalents,Account Receivable,Inventory,Total Current Asset,Total Current Liabilities,Revenue,Cost of Revenue,Gross Profit,EBIT,Net Income,Total Liabilities,Long Term Liabilities,Shareholders Equity,Interest Expense,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Interest Coverage Ratio,Free Cash Flow,Trend (MA),MA200 Status,Sinyal Teknikal,RSI (14),MACD Line,MACD Signal,Flow 1D,Flow 2D,Flow 3D,Flow 4D,Flow 1W,Flow 1M,Flow 3M,Flow 6M,Flow 1M Raw
AVIA,Materials,Specialty Chemicals,336.0,10.52,2.08,0.0,0.19879999999999998,6.26,-466320000000.0,6310000000000.0,177230000000.0,0.0715,0.08,0.22,24.0,0.07139999999999999,APR & NOV,Semi-Annual,0.056498959999999994,4.7,11.31,11297600000000.0,2307788000000.0,19980000000000.0,2449883000000.0,1422588000000.0,1968890000000.0,7906822000000.0,1597067000000.0,8830000000000.0,4386568000000.0,4440000000000.0,2210000000000.0,1910000000000.0,1684924000000.0,,9612676000000.0,-2281000000.0,2485019000000.0,143759000000.0,-1909035000000.0,968.19,2020000000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,42.09,-1.78,2.51,-39.18 M,+89.29 M,-317.75 M,-300.01 M,-380.40 M,-113.57 M,+777.55 M,-214.60 M,-113574000.0
BRMS,Materials,Other Industrial Metals & Mining,665.0,137.75,5.22,0.28,0.0398,66.91,-2097350000000.0,3360000000000.0,134479999999.99998,0.0715,0.68,0.22,,,-,,,Negatif/Deklinasi,,1413000000.0,,97830000000000.0,32130000.000000004,,37160000.0,275520000.0,87740000.0,4010000000000.0,105430000.0,2130000000000.0,1340000000000.0,714820000000.0,364370000.0,266450000.0,1049000000.0,-23790000.0,18000000.0,-157070000.0,145780000.0,3.15,-1775440000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,43.98,12.97,22.06,-3.46 B,-8.37 B,-21.45 B,-20.24 B,-22.32 B,+4.03 B,+200.11 B,+172.66 B,4031974500.0
BRPT,Materials,Chemicals,1580.0,60.08,1.3,1.33,0.0646,16.31,-18360070000000.0,75420000000000.0,6650000000000.0,0.0715,0.78,0.22,1.63,0.001,JUN,,,Negatif/Deklinasi,1.66,18952000000.0,1037000000.0,150880000000000.0,3182000000.0,995090000.0,2260000000.0,7788000000.0,3572000000.0,180460000000000.0,8596000000.0,26680000000000.0,10780000000000.0,2510000000000.0,12458000000.0,7140000000.0,6494000000.0,-481540000.0,290490000.0,-2328000000.0,2109000000.0,1.25,-13163530000000.0,DOWNTREND,BELOW MA200,DEATH CROSS 🩸,30.25,-57.25,-39.42,-877.23 M,-877.23 M,-877.23 M,-269.97 M,-1.03 B,-21.35 B,+130.89 B,+853.20 B,-21349428500.0
CITA,Materials,Other Industrial Metals & Mining,3460.0,10.07,1.71,,,8.79,-139150000000.0,1690000000000.0,98280000000.0,0.0715,-0.15,0.22,328.0,0.09480000000000001,JUL,Annual,,19.28,24.26,8544332000000.0,6326653000000.0,13820000000000.0,795417000000.0,313394000000.0,883804000000.0,2068044000000.0,373604000000.0,3200000000000.0,2140796000000.0,1060000000000.0,619350000000.0,1370000000000.0,441852000000.0,,8102481000000.0,,567394000000.0,541409000000.0,-1390087000000.0,,428250000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,56.24,60.85,68.75,-1.61 M,-910000,-1.84 M,-332000,-3.94 M,+31.44 M,+48.22 M,-742.88 M,31437000.0
CLPI,Materials,Specialty Chemicals,1600.0,6.61,0.84,0.19,0.1304,3.71,-2880000000.0,494150000000.0,7930000000.0,0.0715,0.08,0.22,170.51,0.1066,JUN / JUL,Annual,0.05054303999999999,11.65,3.5,965248000000.0,546673000000.0,491190000000.0,221643000000.0,357782000000.0,250692000000.0,862080000000.0,367929000000.0,1060000000000.0,903818000000.0,152670000000.0,88990000000.0,74320000000.0,383105000000.0,,582143000000.0,-3109000000.0,55277000000.0,-17594000000.0,-70342000000.0,28.63,52400000000.0,UPTREND,ABOVE MA200,TERKONFIRMASI,47.44,4.42,7.83,-289500,-573500,-573500,-366500,-366500,+2.36 M,+50.22 M,-592.02 M,2356500.0
DKFT,Materials,Other Industrial Metals & Mining,660.0,5.66,2.45,0.34,0.5056,4.49,-46300000000.0,905160000000.0,139240000000.0,0.0715,0.57,0.22,70.0,0.1061,JUN & OCT,Semi-Annual,0.21088576000000003,,3.15,3219671000000.0,529841000000.0,3750000000000.0,659665000000.0,195380000000.0,148282000000.0,1425980000000.0,520824000000.0,1630000000000.0,772696000000.0,859640000000.0,622130000000.0,669600000000.0,1687494000000.0,519153000000.0,1532177000000.0,-1730000000.0,552796000000.0,-264886000000.0,-504316000000.0,359.68,506500000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,45.48,-0.33,3.25,-49.65 M,-64.89 M,+64.84 M,+164.56 M,+108.94 M,+558.90 M,+193.15 M,-13.46 M,558902000.0
ESSA,Materials,Chemicals,595.0,10.39,1.04,0.0,0.1406,3.58,-72870000000.0,3370000000000.0,827170000000.0,0.0715,0.2,0.22,10.0,0.0168,APR,Annual,,Negatif/Deklinasi,4.73,693330000.0,266260000.0,10340000000000.0,189230000.0,29230000.0,42300000.0,275880000.0,87360000.0,6150000000000.0,217570000.0,2260000000000.0,1700000000000.0,995000000000.0,139130000.0,,554200000.0,-1220000.0,147040000.0,-13130000.0,-60190000.0,77.96,2560000000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,37.1,-11.12,-0.56,-286.49 M,-534.86 M,-892.61 M,-480.41 M,-2.29 B,+23.49 B,+24.89 B,+55.42 B,23485517500.0
FWCT,Materials,Lumber & Wood Production,87.0,,0.55,1.11,-0.1335,,-54140000000.0,120490000000.0,26770000000.0,0.0715,-0.48,0.22,,,JUN & NOV,,,,2.2,753380000000.0,112567000000.0,174710000000.0,61106000000.0,65394000000.0,106326000000.0,288598000000.0,168107000000.0,1190000000000.0,1123403000000.0,69550000000.0,-30320000000.0,-45720000000.0,433002000000.0,246544000000.0,320378000000.0,-21978000000.0,29592000000.0,-54141000000.0,74989000000.0,-1.38,-24550000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,41.31,-0.35,0.14,-3.46 M,-6.49 M,-8.21 M,-5.70 M,-7.97 M,+77.84 M,+4.29 B,+11.02 B,77841400.0
GDST,Materials,Steel,126.0,12.91,0.87,1.08,0.0709,16.63,-145130000000.0,-23460000000.0,16710000000.0,0.0715,0.07,0.22,2.5,0.019799999999999998,JUN & DEC LAST 2024,Annual,0.054912050000000004,,1.0,3908466000000.0,398338000000.0,1280000000000.0,589175000000.0,257863000000.0,621103000000.0,2255296000000.0,2278756000000.0,2150000000000.0,1900041000000.0,249610000000.0,78240000000.0,102190000000.0,2426082000000.0,99000000000.0,1482384000000.0,-107970000000.0,158327000000.0,-45716000000.0,461356000000.0,0.72,13200000000.0,UPTREND,ABOVE MA200,TERKONFIRMASI,59.88,4.16,2.95,-526.57 M,+3.37 B,+3.89 B,+3.89 B,+3.89 B,+4.05 B,+10.34 B,+13.90 B,4050331500.0
GGRP,Materials,Steel,334.0,,0.36,0.19,-0.021099999999999997,139.17,-195560000000.0,2180000000000.0002,460110000000.0,0.0715,0.33,0.22,28.0,0.08380000000000001,JUN,,,,1.29,850940000.0,248500000.0,4070000000000.0005,8910000.0,4560000.0,174330000.0,265920000.00000003,144140000.0,3800000000000.0,223840000.0,-200310000000.0,-433110000000.0,-250720000000.0,214410000.0,,636540000.0,-4970000.0,-59290000.0,-9800000.0,11070000.0,-4.87,-1256140000000.0,UPTREND,ABOVE MA200,TERKONFIRMASI,63.88,7.51,6.66,-2.14 M,+17.83 M,+17.83 M,+24.79 M,+19.60 M,+116.32 M,+120.63 M,+221.75 M,116324800.0
