Ticker,Trend (MA),MA200 Status,Sinyal Teknikal,RSI (14),MACD Line,MACD Signal,Flow 1D,Flow 2D,Flow 3D,Flow 4D,Flow 1W,Flow 1M,Flow 3M,Flow 6M
PBID,UPTREND,ABOVE MA200,TERKONFIRMASI,49.4,0.67,1.9,0,0,0,0,0,-37.51 M,+399.24 M,+158.91 M
PSAB,UPTREND,ABOVE MA200,TERKONFIRMASI,44.33,7.47,16.64,-1.15 B,-1.44 B,-826.71 M,-1.72 B,-2.48 B,-8.23 B,+61.07 B,+75.03 B
SAMF,UPTREND,ABOVE MA200,TERKONFIRMASI,53.62,6.92,8.66,-213400,-498200,-194200,-483800,-1.63 M,+29.36 M,+97.67 M,+91.42 M
SMGR,UPTREND,BELOW MA200,TERKONFIRMASI,44.49,7.68,28.75,+87.90 M,-1.75 B,-1.25 B,-1.25 B,-3.01 B,+29.53 B,+31.20 B,+11.49 B
SRSN,UPTREND,ABOVE MA200,TERKONFIRMASI,71.33,11.29,9.08,-1.88 B,+18.01 B,+30.43 B,+29.38 B,+31.99 B,+55.71 B,+57.25 B,+64.93 B
TINS,UPTREND,ABOVE MA200,TERKONFIRMASI,75.44,245.06,221.06,+9.47 B,+10.96 B,+11.48 B,+9.20 B,+10.75 B,+61.28 B,+131.17 B,+104.80 B
TKIM,UPTREND,ABOVE MA200,TERKONFIRMASI,43.07,58.01,193.77,-69.78 M,-401.43 M,-517.28 M,-1.09 B,-1.21 B,-1.91 B,+11.62 B,-21.56 B
TPIA,DOWNTREND,BELOW MA200,TERKONFIRMASI,43.09,-49.89,-43.59,+8.16 B,+8.60 B,+9.00 B,+8.33 B,+6.00 B,-34.24 B,+142.55 B,-339.79 B
BLES,UPTREND,ABOVE MA200,TERKONFIRMASI,45.64,1.22,3.34,-22.48 M,-22.48 M,-47.31 M,-170.96 M,-223.07 M,-109.81 M,+2.36 B,+2.82 B
DGWG,UPTREND,BELOW MA200,TERKONFIRMASI,44.88,1.29,5.02,-39.57 M,-39.57 M,+8.78 M,-32.47 M,-18.58 M,+40.99 M,+1.22 B,+941.90 M
FPNI,UPTREND,BELOW MA200,TERKONFIRMASI,50.45,14.61,27.26,-3.03 B,+2.00 B,+2.03 B,+1.99 B,+1.99 B,+4.41 B,+18.29 B,+20.75 B
PART,UPTREND,BELOW MA200,TERKONFIRMASI,49.77,0.57,0.69,-52.10 M,-71.03 M,+845300,+1.82 B,+1.86 B,+2.59 B,+2.57 B,+3.97 B
SMGA,UPTREND,BELOW MA200,TERKONFIRMASI,57.23,2.49,3.25,0,0,-4.94 M,-336300,-5.56 M,+526.59 M,+1.95 B,+2.47 B
ABMM,UPTREND,BELOW MA200,TERKONFIRMASI,47.98,35.87,57.4,-5.95 M,-18.48 M,-27.08 M,-48.34 M,-17.44 M,-28.58 M,+91.34 M,-1.17 B
ASII,DOWNTREND,BELOW MA200,TERKONFIRMASI,45.8,-8.41,-4.1,0,-5.08 B,-4.04 B,-5.44 B,-8.14 B,+11.88 B,+6.30 B,-135.39 B
HEXA,DOWNTREND,BELOW MA200,TERKONFIRMASI,20.35,-59.43,-14.95,-26.68 M,-96.53 M,-1.13 B,-1.28 B,-1.26 B,-1.16 B,-1.37 B,-1.29 B
JTPE,DOWNTREND,ABOVE MA200,TERKONFIRMASI,43.84,-4.46,-2.49,+10.19 M,-32.00 M,-32.00 M,-32.00 M,-7.99 M,-3.06 M,+80.11 M,+670.42 M
KBLI,UPTREND,ABOVE MA200,TERKONFIRMASI,61.18,11.26,8.07,-1.68 M,-5.39 M,-53.34 M,-105.55 M,+713.32 M,+733.91 M,+767.73 M,+728.65 M
KUAS,UPTREND,ABOVE MA200,TERKONFIRMASI,52.95,1.43,2.0,0,+6.69 M,+6.69 M,-4.21 M,+11.48 M,+4.93 B,+6.41 B,+51.48 B
MSJA,UPTREND,ABOVE MA200,TERKONFIRMASI,72.97,109.35,89.84,+90.71 M,-78.12 M,-410.93 M,+289.02 M,+558.13 M,+10.85 B,+11.57 B,+11.42 B
PBSA,UPTREND,BELOW MA200,TERKONFIRMASI,35.32,-18.85,-9.17,0,-17.31 M,-31.83 M,-16.08 M,-27.92 M,-292.43 M,+1.54 B,+1.06 B
